material,outcome,difference,combined_standard_error,difference_over_se
Water,A,0.0026500000000000135,0.0014446722042656293,1.8343261482954114
Water,R,-0.00264999999999993,0.0013640014662748498,-1.9428131607784858
Water,T,0.0,0.0003018829795356546,0.0
Lead,A,-0.00026999999999999247,0.0014563462652969423,-0.1853954697682702
Lead,R,-0.0006700000000000594,0.0021876242821837408,-0.3062683137395279
Lead,T,0.0009400000000001074,0.0020386106379917898,0.46109834927874693
Graphite,A,-7.00000000000995e-05,0.000364920082575132,-0.19182282187960284
Graphite,R,-0.000360000000000138,0.0017136705245369202,-0.21007538779802473
Graphite,T,0.00042999999999998595,0.0016487739552635864,0.2607998498685908
