material,lambda_att / cm,lambda uncertainty / cm,reduced chi2
Water,1.8585165275686595,0.054747729977743034,5.659619057947845
Lead,8.285207823372605,0.4038978630035128,39.33689313687464
Graphite,9.404500920691747,0.6462562934474808,65.12896709549585
