left slab,right slab,A mean,A std,R mean,R std,T mean,T std,mean A + R + T
Lead,Lead,0.18228,0.002656145912993324,0.7006,0.0043817804600413375,0.11712,0.0035083392715705886,1.0
Lead,Water,0.26252,0.00371896042822005,0.7358,0.0036233808644536443,0.0016799999999999999,0.00033928028399998604,1.0
Lead,Graphite,0.14423,0.002504240847486969,0.71404,0.0030452877988422907,0.14173,0.0028898481313422418,1.0
Graphite,Lead,0.07075,0.0028293108701590206,0.7890900000000001,0.003528440007834741,0.14016,0.0032708136942085583,1.0
Graphite,Water,0.14831,0.002937667252921765,0.8496600000000001,0.003076505954632461,0.0020299999999999997,0.0004001388647846033,1.0
Graphite,Graphite,0.017109999999999997,0.001235988133707871,0.81067,0.0026837163287749635,0.17221999999999998,0.0029861904382228123,1.0
