material,slab thickness / cm,N per repeat,number of repeats,A mean,A std,R mean,R std,T mean,T std,mean A + R + T
Water,10.0,10000,10,0.19912000000000002,0.0021064978835340278,0.79775,0.0020084543532002193,0.00313,0.0006447221623821122,1.0
Lead,10.0,10000,10,0.10042999999999999,0.0030923022706930365,0.6189600000000001,0.003734880631738234,0.2806099999999999,0.003013469760923439,1.0
Graphite,10.0,10000,10,0.007840000000000001,0.0006915361322607969,0.68544,0.004309988399056301,0.30672,0.004316068169578009,1.0
