left slab,right slab,A mean,A std,R mean,R std,T mean,T std,mean A + R + T
Water,Water,0.20177,0.004053818501665369,0.7951,0.0038172124791673754,0.00313,0.0007040359839288519,1.0
Lead,Lead,0.10015999999999999,0.0034127864145168984,0.61829,0.00582302899414615,0.28155,0.005698976516299518,1.0
Graphite,Graphite,0.007769999999999999,0.0009238205693988657,0.6850799999999999,0.003284915016658219,0.30715,0.002925083094736123,1.0
